match_id,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,score
335982,2008-04-18,M Chinnaswamy Stadium,2,4.2,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,JH Kallis,AB Agarkar,18
335982,2008-04-18,M Chinnaswamy Stadium,2,4.3,Royal Challengers Bangalore,Kolkata Knight Riders,JH Kallis,W Jaffer,AB Agarkar,18
335982,2008-04-18,M Chinnaswamy Stadium,2,4.4,Royal Challengers Bangalore,Kolkata Knight Riders,JH Kallis,W Jaffer,AB Agarkar,24
335982,2008-04-18,M Chinnaswamy Stadium,2,4.5,Royal Challengers Bangalore,Kolkata Knight Riders,JH Kallis,W Jaffer,AB Agarkar,24
335982,2008-04-18,M Chinnaswamy Stadium,2,4.6,Royal Challengers Bangalore,Kolkata Knight Riders,CL White,W Jaffer,AB Agarkar,24
335982,2008-04-18,M Chinnaswamy Stadium,2,5.1,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,CL White,AB Dinda,24
335982,2008-04-18,M Chinnaswamy Stadium,2,5.2,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,CL White,AB Dinda,24
335982,2008-04-18,M Chinnaswamy Stadium,2,5.3,Royal Challengers Bangalore,Kolkata Knight Riders,MV Boucher,CL White,AB Dinda,24
335982,2008-04-18,M Chinnaswamy Stadium,2,5.4,Royal Challengers Bangalore,Kolkata Knight Riders,MV Boucher,CL White,AB Dinda,25
335982,2008-04-18,M Chinnaswamy Stadium,2,5.5,Royal Challengers Bangalore,Kolkata Knight Riders,CL White,MV Boucher,AB Dinda,26
335982,2008-04-18,M Chinnaswamy Stadium,2,5.6,Royal Challengers Bangalore,Kolkata Knight Riders,MV Boucher,CL White,AB Dinda,26
335984,2008-04-19,Feroz Shah Kotla,1,0.1,Rajasthan Royals,Delhi Capitals,T Kohli,YK Pathan,GD McGrath,0
335984,2008-04-19,Feroz Shah Kotla,1,0.2,Rajasthan Royals,Delhi Capitals,T Kohli,YK Pathan,GD McGrath,0
335984,2008-04-19,Feroz Shah Kotla,1,0.3,Rajasthan Royals,Delhi Capitals,T Kohli,YK Pathan,GD McGrath,0
335984,2008-04-19,Feroz Shah Kotla,1,0.4,Rajasthan Royals,Delhi Capitals,T Kohli,YK Pathan,GD McGrath,1
335984,2008-04-19,Feroz Shah Kotla,1,0.5,Rajasthan Royals,Delhi Capitals,T Kohli,YK Pathan,GD McGrath,1
335984,2008-04-19,Feroz Shah Kotla,1,0.6,Rajasthan Royals,Delhi Capitals,T Kohli,YK Pathan,GD McGrath,1
335984,2008-04-19,Feroz Shah Kotla,1,0.7,Rajasthan Royals,Delhi Capitals,T Kohli,YK Pathan,GD McGrath,7
335984,2008-04-19,Feroz Shah Kotla,1,1.1,Rajasthan Royals,Delhi Capitals,YK Pathan,T Kohli,B Geeves,8
335984,2008-04-19,Feroz Shah Kotla,1,1.2,Rajasthan Royals,Delhi Capitals,T Kohli,YK Pathan,B Geeves,8
335984,2008-04-19,Feroz Shah Kotla,1,1.3,Rajasthan Royals,Delhi Capitals,T Kohli,YK Pathan,B Geeves,8
335984,2008-04-19,Feroz Shah Kotla,1,1.4,Rajasthan Royals,Delhi Capitals,T Kohli,YK Pathan,B Geeves,9
335984,2008-04-19,Feroz Shah Kotla,1,1.5,Rajasthan Royals,Delhi Capitals,YK Pathan,T Kohli,B Geeves,13
335984,2008-04-19,Feroz Shah Kotla,1,1.6,Rajasthan Royals,Delhi Capitals,YK Pathan,T Kohli,B Geeves,17
335984,2008-04-19,Feroz Shah Kotla,1,2.1,Rajasthan Royals,Delhi Capitals,T Kohli,YK Pathan,GD McGrath,17
335984,2008-04-19,Feroz Shah Kotla,1,2.2,Rajasthan Royals,Delhi Capitals,T Kohli,YK Pathan,GD McGrath,17
335984,2008-04-19,Feroz Shah Kotla,1,2.3,Rajasthan Royals,Delhi Capitals,T Kohli,YK Pathan,GD McGrath,17
335984,2008-04-19,Feroz Shah Kotla,1,2.4,Rajasthan Royals,Delhi Capitals,SR Watson,YK Pathan,GD McGrath,17
335984,2008-04-19,Feroz Shah Kotla,1,2.5,Rajasthan Royals,Delhi Capitals,SR Watson,YK Pathan,GD McGrath,17
335984,2008-04-19,Feroz Shah Kotla,1,2.6,Rajasthan Royals,Delhi Capitals,SR Watson,YK Pathan,GD McGrath,17
335984,2008-04-19,Feroz Shah Kotla,1,3.1,Rajasthan Royals,Delhi Capitals,YK Pathan,SR Watson,B Geeves,18
335984,2008-04-19,Feroz Shah Kotla,1,3.2,Rajasthan Royals,Delhi Capitals,SR Watson,YK Pathan,B Geeves,22
335984,2008-04-19,Feroz Shah Kotla,1,3.3,Rajasthan Royals,Delhi Capitals,SR Watson,YK Pathan,B Geeves,26
335984,2008-04-19,Feroz Shah Kotla,1,3.4,Rajasthan Royals,Delhi Capitals,SR Watson,YK Pathan,B Geeves,27
335984,2008-04-19,Feroz Shah Kotla,1,3.5,Rajasthan Royals,Delhi Capitals,YK Pathan,SR Watson,B Geeves,27
335984,2008-04-19,Feroz Shah Kotla,1,3.6,Rajasthan Royals,Delhi Capitals,SR Watson,M Kaif,B Geeves,31
335984,2008-04-19,Feroz Shah Kotla,1,4.1,Rajasthan Royals,Delhi Capitals,M Kaif,SR Watson,GD McGrath,31
335984,2008-04-19,Feroz Shah Kotla,1,4.2,Rajasthan Royals,Delhi Capitals,M Kaif,SR Watson,GD McGrath,31
335984,2008-04-19,Feroz Shah Kotla,1,4.3,Rajasthan Royals,Delhi Capitals,M Kaif,SR Watson,GD McGrath,32
335984,2008-04-19,Feroz Shah Kotla,1,4.4,Rajasthan Royals,Delhi Capitals,SR Watson,M Kaif,GD McGrath,36
335984,2008-04-19,Feroz Shah Kotla,1,4.5,Rajasthan Royals,Delhi Capitals,SR Watson,M Kaif,GD McGrath,36
335984,2008-04-19,Feroz Shah Kotla,1,4.6,Rajasthan Royals,Delhi Capitals,SR Watson,M Kaif,GD McGrath,37
335984,2008-04-19,Feroz Shah Kotla,1,5.1,Rajasthan Royals,Delhi Capitals,SR Watson,M Kaif,MF Maharoof,37
335984,2008-04-19,Feroz Shah Kotla,1,5.2,Rajasthan Royals,Delhi Capitals,SR Watson,M Kaif,MF Maharoof,38
335984,2008-04-19,Feroz Shah Kotla,1,5.3,Rajasthan Royals,Delhi Capitals,M Kaif,SR Watson,MF Maharoof,38
335984,2008-04-19,Feroz Shah Kotla,1,5.4,Rajasthan Royals,Delhi Capitals,M Kaif,SR Watson,MF Maharoof,39
335984,2008-04-19,Feroz Shah Kotla,1,5.5,Rajasthan Royals,Delhi Capitals,SR Watson,M Kaif,MF Maharoof,40
335984,2008-04-19,Feroz Shah Kotla,1,5.6,Rajasthan Royals,Delhi Capitals,M Kaif,SR Watson,MF Maharoof,40
335984,2008-04-19,Feroz Shah Kotla,2,0.1,Delhi Capitals,Rajasthan Royals,G Gambhir,V Sehwag,MM Patel,0
335984,2008-04-19,Feroz Shah Kotla,2,0.2,Delhi Capitals,Rajasthan Royals,G Gambhir,V Sehwag,MM Patel,0
335984,2008-04-19,Feroz Shah Kotla,2,0.3,Delhi Capitals,Rajasthan Royals,G Gambhir,V Sehwag,MM Patel,0
335984,2008-04-19,Feroz Shah Kotla,2,0.4,Delhi Capitals,Rajasthan Royals,G Gambhir,V Sehwag,MM Patel,0
335984,2008-04-19,Feroz Shah Kotla,2,0.5,Delhi Capitals,Rajasthan Royals,G Gambhir,V Sehwag,MM Patel,4
335984,2008-04-19,Feroz Shah Kotla,2,0.6,Delhi Capitals,Rajasthan Royals,G Gambhir,V Sehwag,MM Patel,8
335984,2008-04-19,Feroz Shah Kotla,2,1.1,Delhi Capitals,Rajasthan Royals,V Sehwag,G Gambhir,SR Watson,12
335984,2008-04-19,Feroz Shah Kotla,2,1.2,Delhi Capitals,Rajasthan Royals,V Sehwag,G Gambhir,SR Watson,16
335984,2008-04-19,Feroz Shah Kotla,2,1.3,Delhi Capitals,Rajasthan Royals,V Sehwag,G Gambhir,SR Watson,20
335984,2008-04-19,Feroz Shah Kotla,2,1.4,Delhi Capitals,Rajasthan Royals,V Sehwag,G Gambhir,SR Watson,20
335984,2008-04-19,Feroz Shah Kotla,2,1.5,Delhi Capitals,Rajasthan Royals,S Dhawan,G Gambhir,SR Watson,20
335984,2008-04-19,Feroz Shah Kotla,2,1.6,Delhi Capitals,Rajasthan Royals,S Dhawan,G Gambhir,SR Watson,21
335984,2008-04-19,Feroz Shah Kotla,2,1.7,Delhi Capitals,Rajasthan Royals,S Dhawan,G Gambhir,SR Watson,21
335984,2008-04-19,Feroz Shah Kotla,2,2.1,Delhi Capitals,Rajasthan Royals,G Gambhir,S Dhawan,MM Patel,21
335984,2008-04-19,Feroz Shah Kotla,2,2.2,Delhi Capitals,Rajasthan Royals,G Gambhir,S Dhawan,MM Patel,25
335984,2008-04-19,Feroz Shah Kotla,2,2.3,Delhi Capitals,Rajasthan Royals,G Gambhir,S Dhawan,MM Patel,25
335984,2008-04-19,Feroz Shah Kotla,2,2.4,Delhi Capitals,Rajasthan Royals,G Gambhir,S Dhawan,MM Patel,26
335984,2008-04-19,Feroz Shah Kotla,2,2.5,Delhi Capitals,Rajasthan Royals,S Dhawan,G Gambhir,MM Patel,26
335984,2008-04-19,Feroz Shah Kotla,2,2.6,Delhi Capitals,Rajasthan Royals,S Dhawan,G Gambhir,MM Patel,26
335984,2008-04-19,Feroz Shah Kotla,2,3.1,Delhi Capitals,Rajasthan Royals,G Gambhir,S Dhawan,SR Watson,27
335984,2008-04-19,Feroz Shah Kotla,2,3.2,Delhi Capitals,Rajasthan Royals,S Dhawan,G Gambhir,SR Watson,27
335984,2008-04-19,Feroz Shah Kotla,2,3.3,Delhi Capitals,Rajasthan Royals,S Dhawan,G Gambhir,SR Watson,31
335984,2008-04-19,Feroz Shah Kotla,2,3.4,Delhi Capitals,Rajasthan Royals,S Dhawan,G Gambhir,SR Watson,32
335984,2008-04-19,Feroz Shah Kotla,2,3.5,Delhi Capitals,Rajasthan Royals,G Gambhir,S Dhawan,SR Watson,36
335984,2008-04-19,Feroz Shah Kotla,2,3.6,Delhi Capitals,Rajasthan Royals,G Gambhir,S Dhawan,SR Watson,36
335984,2008-04-19,Feroz Shah Kotla,2,4.1,Delhi Capitals,Rajasthan Royals,S Dhawan,G Gambhir,MM Patel,36
335984,2008-04-19,Feroz Shah Kotla,2,4.2,Delhi Capitals,Rajasthan Royals,S Dhawan,G Gambhir,MM Patel,37
335984,2008-04-19,Feroz Shah Kotla,2,4.3,Delhi Capitals,Rajasthan Royals,G Gambhir,S Dhawan,MM Patel,43
335984,2008-04-19,Feroz Shah Kotla,2,4.4,Delhi Capitals,Rajasthan Royals,G Gambhir,S Dhawan,MM Patel,47
335984,2008-04-19,Feroz Shah Kotla,2,4.5,Delhi Capitals,Rajasthan Royals,G Gambhir,S Dhawan,MM Patel,47
335984,2008-04-19,Feroz Shah Kotla,2,4.6,Delhi Capitals,Rajasthan Royals,G Gambhir,S Dhawan,MM Patel,48
335984,2008-04-19,Feroz Shah Kotla,2,5.1,Delhi Capitals,Rajasthan Royals,G Gambhir,S Dhawan,SK Trivedi,48
335984,2008-04-19,Feroz Shah Kotla,2,5.2,Delhi Capitals,Rajasthan Royals,G Gambhir,S Dhawan,SK Trivedi,49
